Incident Number,Area,Completed Incident Date,Land Type,Waste Type,Incident Size,Overall Environmental Impact
23130061613,West Midlands,1/2/2015,Private - Residential,green,small van load,3
533511180111,Thames,1/6/2015,Agricultural,animal carcass,transit van load,3
18130108308,Lincolnshire and Northamptonshire,1/8/2015,Watercourse / Bank,"chemical drums, oil or fuel",car boot load or less,3
14130226004,East Midlands,1/8/2015,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
133491084890,Cumbria and Lancashire,1/8/2015,Private - Residential,other house hold waste,small van load,3
333481179859,Hertfordshire and North London,1/9/2015,Commercial / Industrial,black bags - commercial,small van load,4
33461279718,North East,1/12/2015,Watercourse / Bank,white goods,other single item,3
33451185687,East Anglia,1/12/2015,Council Land,other commercial waste,significant/multiple loads,3
433461185183,East Anglia,1/12/2015,Highway,other commercial waste,tipper lorry load,3
3345882082,West Midlands,1/14/2015,Commercial / Industrial,construction/demolition/excavation,tipper lorry load,3
333431082446,North East,1/15/2015,Watercourse / Bank,tyres,tipper lorry load,3
23130760413,West Midlands,1/20/2015,Commercial / Industrial,"chemical drums, oil or fuel",car boot load or less,4
433401478808,Wessex,1/20/2015,Other (Unidentified),construction/demolition/excavation,small van load,3
33401082501,Thames,1/20/2015,Commercial / Industrial,tyres,significant/multiple loads,3
333390978856,West Midlands,1/21/2015,Commercial / Industrial,tyres,small van load,4
13125047103,East Anglia,1/21/2015,Footpath / Bridleway,other house hold waste,significant/multiple loads,3
53338885013,Lincolnshire and Northamptonshire,1/21/2015,Commercial / Industrial,tyres,tipper lorry load,3
233401077797,North East,1/22/2015,Highway,white goods,transit van load,3
233411077897,North East,1/22/2015,Highway,tyres,transit van load,4
433371482863,Cumbria and Lancashire,1/22/2015,Private - Residential,tyres,tipper lorry load,3
433371177437,Yorkshire,1/23/2015,Agricultural,construction/demolition/excavation,significant/multiple loads,3
433371382704,East Anglia,1/23/2015,Commercial / Industrial,tyres,small van load,3
233341178710,East Anglia,1/27/2015,Commercial / Industrial,other commercial waste,tipper lorry load,3
20130910810,Solent and South Downs,1/27/2015,Highway,green,small van load,4
543071880582,Solent and South Downs,1/30/2015,Commercial / Industrial,white goods,tipper lorry load,3
15315879401,Wessex,2/3/2015,Other (Unidentified),white goods,transit van load,3
533501073696,Wessex,2/3/2015,Footpath / Bridleway,"chemical drums, oil or fuel",car boot load or less,3
11119822401,Cumbria and Lancashire,2/3/2015,Highway,construction/demolition/excavation,tipper lorry load,3
23130839813,West Midlands,2/3/2015,Railway,tyres,small van load,3
553381284146,North East,2/5/2015,Agricultural,other commercial waste,transit van load,3
563091184285,Yorkshire,2/5/2015,Commercial / Industrial,other commercial waste,tipper lorry load,3
1344751603,East Anglia,2/9/2015,Commercial / Industrial,tyres,significant/multiple loads,2
53121179030,Hertfordshire and North London,2/9/2015,Commercial / Industrial,other (unidentified),tipper lorry load,3
17131224907,Kent South London and East Sussex,2/10/2015,Highway,construction/demolition/excavation,tipper lorry load,3
12131334502,"Devon, Cornwall and the Isles of Scilly",2/13/2015,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
453101077204,Wessex,2/16/2015,Footpath / Bridleway,tyres,transit van load,3
253091082371,West Midlands,2/16/2015,Commercial / Industrial,other house hold waste,significant/multiple loads,3
14131315204,East Midlands,2/16/2015,Watercourse / Bank,"chemical drums, oil or fuel",other single item,3
443581578134,North East,2/17/2015,Private - Residential,construction/demolition/excavation,tipper lorry load,3
353101183015,Wessex,2/17/2015,Footpath / Bridleway,tyres,transit van load,3
353071178010,Wessex,2/20/2015,Highway,green,significant/multiple loads,3
13130267703,East Anglia,2/23/2015,Watercourse / Bank,other house hold waste,significant/multiple loads,3
553040978343,Wessex,2/23/2015,Agricultural,other house hold waste,transit van load,3
553051378898,Hertfordshire and North London,2/24/2015,Other (Unidentified),construction/demolition/excavation,significant/multiple loads,3
53031079044,Hertfordshire and North London,2/25/2015,Highway,"chemical drums, oil or fuel",significant/multiple loads,3
453031184420,West Midlands,2/25/2015,Agricultural,black bags - house hold,tipper lorry load,3
35303876212,Wessex,2/26/2015,Commercial / Industrial,construction/demolition/excavation,significant/multiple loads,3
24131307214,Yorkshire,2/26/2015,Footpath / Bridleway,green,car boot load or less,4
22130491712,Wessex,2/26/2015,Highway,construction/demolition/excavation,tipper lorry load,3
453010978239,Hertfordshire and North London,2/27/2015,Commercial / Industrial,other commercial waste,significant/multiple loads,3
53010979536,Hertfordshire and North London,2/27/2015,Council Land,construction/demolition/excavation,tipper lorry load,3
343591177356,Hertfordshire and North London,3/2/2015,Other (Unidentified),Construction/demolition/excavation,Tipper lorry load,3
443581076790,Cumbria and Lancashire,3/3/2015,Watercourse / Bank,Construction/demolition/excavation,Car boot load or less,3
24131730714,Yorkshire,3/3/2015,Watercourse / Bank,Construction/demolition/excavation,Other single item,3
54357882253,Hertfordshire and North London,3/4/2015,Commercial / Industrial,Construction/demolition/excavation,Transit van load,3
43591181473,Solent and South Downs,3/5/2015,Commercial / Industrial,Other house hold waste,Transit van load,3
13131066303,East Anglia,3/6/2015,Other (Unidentified),Asbestos,Transit van load,3
243581178590,Thames,3/9/2015,Agricultural,Construction/demolition/excavation,Transit van load,3
243591279185,Cumbria and Lancashire,3/9/2015,Watercourse / Bank,Tyres,Small van load,3
153001682205,Greater Manchester Merseyside and Cheshire,3/9/2015,Commercial / Industrial,Other commercial waste,single black bag,4
19131915309,North East,3/13/2015,Commercial / Industrial,Other house hold waste,Small van load,3
243121983284,Solent and South Downs,3/13/2015,Agricultural,Other house hold waste,Car boot load or less,3
23131333713,West Midlands,3/16/2015,Watercourse / Bank,White goods,Significant/multiple loads,3
343131577314,Yorkshire,3/17/2015,Other (Unidentified),Other house hold waste,Tipper lorry load,3
22131582912,Wessex,3/17/2015,Highway,Other commercial waste,Other single item,3
443101483271,Yorkshire,3/17/2015,Commercial / Industrial,"Chemical drums, oil or fuel",Car boot load or less,4
43091476517,East Anglia,3/19/2015,Other (Unidentified),Construction/demolition/excavation,Tipper lorry load,4
21131557411,Thames,3/19/2015,Footpath / Bridleway,"Chemical drums, oil or fuel",Other single item,3
12132212302,"Devon, Cornwall and the Isles of Scilly",3/22/2015,Watercourse / Bank,Other house hold waste,Single black bag,3
143011476983,Cumbria and Lancashire,3/23/2015,Agricultural,Other (unidentified),Car boot load or less,3
443011179666,Hertfordshire and North London,3/23/2015,Other (Unidentified),Other house hold waste,Transit van load,3
533431076311,Wessex,3/25/2015,Watercourse / Bank,Asbestos,Small van load,3
243591182306,Yorkshire,3/26/2015,Private - Residential,Other house hold waste,Car boot load or less,4
13127379903,East Anglia,3/26/2015,Agricultural,Other (unidentified),Significant/multiple loads,3
21132382611,Thames,3/27/2015,Watercourse / Bank,Other house hold waste,Other single item,3
333581475957,Wessex,3/31/2015,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
43357880718,Wessex,3/31/2015,Other (Unidentified),Asbestos,Small van load,4
333561075013,Hertfordshire and North London,4/2/2015,Commercial / Industrial,Other house hold waste,Transit van load,3
533550975507,Hertfordshire and North London,4/2/2015,Agricultural,Construction/demolition/excavation,Significant/multiple loads,3
533561180874,Hertfordshire and North London,4/2/2015,Watercourse / Bank,Other house hold waste,Car boot load or less,3
533511280819,Lincolnshire and Northamptonshire,4/7/2015,Watercourse / Bank,Black bags - house hold,Small van load,3
3354885306,Wessex,4/9/2015,Highway,Asbestos,Tipper lorry load,3
14131906904,East Midlands,4/10/2015,Other (Unidentified),Other house hold waste,Car boot load or less,3
133480980962,East Anglia,4/14/2015,Highway,Asbestos,Small van load,3
333491181755,Hertfordshire and North London,4/14/2015,Watercourse / Bank,Vehicle parts,Other single item,3
533470973415,Hertfordshire and North London,4/20/2015,Other (Unidentified),White goods,Significant/multiple loads,3
433470973464,Solent and South Downs,4/21/2015,Highway,Construction/demolition/excavation,Small van load,4
433471777175,West Midlands,4/27/2015,Other (Unidentified),Other house hold waste,Small van load,3
16132721906,Hertfordshire and North London,4/28/2015,Private - Residential,Other house hold waste,Car boot load or less,4
233491380690,"Devon, Cornwall and the Isles of Scilly",4/29/2015,Highway,Construction/demolition/excavation,Small van load,4
333540974972,Hertfordshire and North London,4/30/2015,Private - Residential,Other house hold waste,Significant/multiple loads,3
533540975071,Hertfordshire and North London,4/30/2015,Footpath / Bridleway,Other house hold waste,Small van load,3
533560975370,Hertfordshire and North London,4/30/2015,Other (Unidentified),Construction/demolition/excavation,Significant/multiple loads,4
18133054308,Lincolnshire and Northamptonshire,4/30/2015,Commercial / Industrial,Other commercial waste,Car boot load or less,3
533491275402,Hertfordshire and North London,5/1/2015,Highway,"Chemical drums, oil or fuel",Transit van load,3
3350880878,Hertfordshire and North London,5/1/2015,Watercourse / Bank,Black bags - house hold,Small van load,3
133491080976,Wessex,5/1/2015,Watercourse / Bank,Other house hold waste,Tipper lorry load,3
22132645812,Wessex,5/1/2015,Watercourse / Bank,Other house hold waste,Small van load,3
15132589905,Greater Manchester Merseyside and Cheshire,5/5/2015,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,3
533511277829,East Midlands,5/5/2015,Watercourse / Bank,Asbestos,Small van load,4
24133407614,Yorkshire,5/6/2015,Watercourse / Bank,Vehicle parts,Car boot load or less,3
13132741803,East Anglia,5/6/2015,Highway,Other commercial waste,Transit van load,4
